2024-11-08 19:50:16 INFO  [main] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-11-08 19:50:17 INFO  [main] o.s.mock.web.MockServletContext - Initializing Spring TestDispatcherServlet ''
2024-11-08 19:50:17 INFO  [main] o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2024-11-08 19:50:17 INFO  [main] o.s.t.w.s.TestDispatcherServlet - Completed initialization in 8 ms
2024-11-08 19:50:18 INFO  [main] o.s.mock.web.MockServletContext - Initializing Spring TestDispatcherServlet ''
2024-11-08 19:50:18 INFO  [main] o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2024-11-08 19:50:18 INFO  [main] o.s.t.w.s.TestDispatcherServlet - Completed initialization in 0 ms
2024-11-08 19:50:18 INFO  [main] o.s.mock.web.MockServletContext - Initializing Spring TestDispatcherServlet ''
2024-11-08 19:50:18 INFO  [main] o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2024-11-08 19:50:18 INFO  [main] o.s.t.w.s.TestDispatcherServlet - Completed initialization in 0 ms
2024-11-08 19:50:18 INFO  [main] o.s.mock.web.MockServletContext - Initializing Spring TestDispatcherServlet ''
2024-11-08 19:50:18 INFO  [main] o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2024-11-08 19:50:18 INFO  [main] o.s.t.w.s.TestDispatcherServlet - Completed initialization in 0 ms
2024-11-08 19:50:18 INFO  [main] o.s.mock.web.MockServletContext - Initializing Spring TestDispatcherServlet ''
2024-11-08 19:50:18 INFO  [main] o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2024-11-08 19:50:18 INFO  [main] o.s.t.w.s.TestDispatcherServlet - Completed initialization in 0 ms
2024-11-08 19:50:18 INFO  [main] o.s.mock.web.MockServletContext - Initializing Spring TestDispatcherServlet ''
2024-11-08 19:50:18 INFO  [main] o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2024-11-08 19:50:18 INFO  [main] o.s.t.w.s.TestDispatcherServlet - Completed initialization in 0 ms
2024-11-08 19:50:18 INFO  [main] o.s.mock.web.MockServletContext - Initializing Spring TestDispatcherServlet ''
2024-11-08 19:50:18 INFO  [main] o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2024-11-08 19:50:18 INFO  [main] o.s.t.w.s.TestDispatcherServlet - Completed initialization in 0 ms
2024-11-08 19:50:18 INFO  [main] o.s.mock.web.MockServletContext - Initializing Spring TestDispatcherServlet ''
2024-11-08 19:50:18 INFO  [main] o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2024-11-08 19:50:18 INFO  [main] o.s.t.w.s.TestDispatcherServlet - Completed initialization in 0 ms
2024-11-08 19:50:18 INFO  [main] o.s.mock.web.MockServletContext - Initializing Spring TestDispatcherServlet ''
2024-11-08 19:50:18 INFO  [main] o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2024-11-08 19:50:18 INFO  [main] o.s.t.w.s.TestDispatcherServlet - Completed initialization in 0 ms
2024-11-08 19:50:18 INFO  [main] o.s.mock.web.MockServletContext - Initializing Spring TestDispatcherServlet ''
2024-11-08 19:50:18 INFO  [main] o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2024-11-08 19:50:18 INFO  [main] o.s.t.w.s.TestDispatcherServlet - Completed initialization in 0 ms
2024-11-08 19:50:19 INFO  [main] o.s.mock.web.MockServletContext - Initializing Spring TestDispatcherServlet ''
2024-11-08 19:50:19 INFO  [main] o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
